,concept_id_1,concept_id_2,relationship_id
12,2128000035,2128015307,Maps to value
13,2128000035,2128015308,Maps to value
14,2128000035,2128015309,Maps to value
15,2128000035,2128015310,Maps to value
16,2128000035,2128015311,Maps to value
17,2128000035,2128015312,Maps to value
18,2128000035,2128015313,Maps to value
19,2128000035,2128015314,Maps to value
20,2128000035,2128015315,Maps to value
21,2128000035,2128015316,Maps to value
22,2128000035,2128015317,Maps to value
23,2128000035,2128015318,Maps to value
24,2128000035,2128015319,Maps to value
25,2128000035,2128015320,Maps to value
26,2128000035,2128015321,Maps to value
27,2128000035,2128015322,Maps to value
28,2128000035,2128015323,Maps to value
29,2128000035,2128015324,Maps to value
30,2128000035,2128015325,Maps to value
31,2128000035,2128015326,Maps to value
32,2128000035,2128015327,Maps to value
33,2128000035,2128015328,Maps to value
34,2128000035,2128015329,Maps to value
35,2128000035,2128015330,Maps to value
36,2128000035,2128015331,Maps to value
37,2128000035,2128015332,Maps to value
38,2128000035,2128015333,Maps to value
39,2128000035,2128015334,Maps to value
40,2128000035,2128015335,Maps to value
41,2128000035,2128015336,Maps to value
42,2128000035,2128015337,Maps to value
43,2128000035,2128015338,Maps to value
44,2128000035,2128015339,Maps to value
45,2128000035,2128015340,Maps to value
46,2128000035,2128015341,Maps to value
47,2128000035,2128015342,Maps to value
48,2128000035,2128015343,Maps to value
49,2128000035,2128015344,Maps to value
50,2128000035,2128015345,Maps to value
51,2128000035,2128015346,Maps to value
52,2128000035,2128015347,Maps to value
53,2128000035,2128015348,Maps to value
54,2128000035,2128015349,Maps to value
55,2128000035,2128015350,Maps to value
56,2128000035,2128015351,Maps to value
57,2128000035,2128015352,Maps to value
58,2128000035,2128015353,Maps to value
59,2128000035,2128015354,Maps to value
60,2128000035,2128015355,Maps to value
61,2128000035,2128015356,Maps to value
62,2128000035,2128015357,Maps to value
63,2128000035,2128015358,Maps to value
64,2128000035,2128015359,Maps to value
65,2128000035,2128015360,Maps to value
66,2128000035,2128015361,Maps to value
67,2128000035,2128015362,Maps to value
68,2128000035,2128015363,Maps to value
69,2128000035,2128015364,Maps to value
70,2128000035,2128015365,Maps to value
71,2128000035,2128015366,Maps to value
72,2128000035,2128015367,Maps to value
73,2128000035,2128015368,Maps to value
74,2128000035,2128015369,Maps to value
75,2128000035,2128015370,Maps to value
76,2128000035,2128015371,Maps to value
77,2128000035,2128015372,Maps to value
78,2128000035,2128015373,Maps to value
0,2128000656,2128015374,Maps to value
1,2128000656,2128015375,Maps to value
2,2128000656,2128015376,Maps to value
3,2128000656,2128015377,Maps to value
4,2128000656,2128015378,Maps to value
5,2128000656,2128015379,Maps to value
6,2128000656,2128015380,Maps to value
7,2128000656,2128015381,Maps to value
8,2128000656,2128015382,Maps to value
9,2128000656,2128015383,Maps to value
10,2128000656,2128015384,Maps to value
11,2128000656,2128015385,Maps to value
12,2128000656,2128015386,Maps to value
